badword,type,replacement_word,replacement_word_type
niggerlover,verb,,
niggers,noun,,
niggerz,noun,,
nigghs,noun,,
niggir,noun,,
niggress,noun,,
niggs,noun,,
nigguh,noun,,
nigguhs,noun,,
nigguhz,noun,,
niggz,noun,,
niggzzes,noun,,
niglet,noun,,
nignigs,noun,,
nignog,noun,,
nigra,noun,,
nigre,noun,,
nigs,noun,,
niguh,noun,,
nikk3r,noun,,
nikkas,noun,,
nikker,verb,,
nip,noun,,
nobbyhead,noun,,
nobhead,noun,,
nobheads,noun,,
nobj0key,noun,,
nobjockey,noun,,
nobjockies,noun,,
nobjocky,noun,,
nobjokey,noun,,
nobjokeys,noun,,
nobs,noun,,
nonce,noun,,
nuckas,noun,,
nuggets,noun,,
nutbutter,verb,,
nutsack,noun,,
nutsacks,noun,,
nympho,noun,,
nymphomaniac,noun,,
octopussy,noun,,
ovendodger,verb,,
p3n1shead,noun,,
p3nisfcker,verb,,
p3nisfcukers,noun,,
p3nisfvcker,verb,,
p3nisfvckers,noun,,
packerfudgehead,noun,,
packingfudge,noun,,
packingfudgefucker,verb,,
packingfudgefucking,verb,,
packingfudgehead,noun,,
packmyfudge,noun,,
packsomefudgefucker,verb,,
paki,noun,,
palmjockey,noun,,
pancakeface,noun,,
pecker,verb,,
peckerhead,noun,,
pedo,noun,,
pedobear,noun,,
pedobears,noun,,
pedophl,noun,,
pedos,noun,,
pedoz,noun,,
peen,noun,,
peener,verb,,
penisfcker,verb,,
penisfuccer,verb,,
penisfucker,verb,,
penisfuckers,noun,,
penisfvcker,verb,,
penisfvckers,noun,,
penishead,noun,,
peter,verb,,
peterpuffer,verb,,
phaggot,noun,,
phaggots,noun,,
phagot,noun,,
phags,noun,,
phggots,noun,,
phuc,noun,,
phucc,noun,,
phuccer,verb,,
phucchead,noun,,
phuccing,verb,,
phuck,noun,,
phuck3r,noun,,
phucked,verb,,
phucker,verb,,
phuckin,noun,,
phucking,verb,,
phuckings,noun,,
phucks,noun,,
phucup,noun,,
phuk,noun,,
phuked,verb,,
phukeds,noun,,
phukhead,noun,,
phuking,verb,,
phukings,noun,,
phukk,noun,,
phukked,verb,,
phukkeds,noun,,
phukker,verb,,
phukking,verb,,
phuks,noun,,
phukshit,noun,,
phuku,noun,,
phukup,noun,,
phuq,noun,,
phuqs,noun,,
phvckings,noun,,
pigfucker,verb,,
pigfuckers,noun,,
pigfucking,verb,,
pigfukker,verb,,
piggyfuck,noun,,
pigshit,noun,,
pillowbiter,verb,,
pissface,noun,,
pissoff,noun,,
pissofffuckhead,noun,,
pissoffs,noun,,
pissshit,noun,,
polelicker,verb,,
polesmoker,verb,,
polesucker,verb,,
porchmonkey,noun,,
prick,noun,,
prickface,noun,,
prickgobbler,verb,,
prickhead,noun,,
pricks,noun,,
pu55y,noun,,
pullthepud,noun,,
punani,noun,,
punkasses,noun,,
punkassmofoes,noun,,
puss,noun,,
pusses,noun,,
pussie,noun,,
pussies,noun,,
pussless,noun,,
pusslicker,verb,,
pussy,noun,,
pussycat,noun,,
pussyfucker,verb,,
pussylick,noun,,
pussylicker,verb,,
pussylickers,noun,,
pussylicking,verb,,
pussys,noun,,
pussywhipped,verb,,
pusy,noun,,
puta,noun,,
puussy,noun,,
puzzies,noun,,
puzzy,noun,,
queerasses,noun,,
queers,noun,,
r3tard,noun,,
r3trd,noun,,
r3trded,verb,,
raghead,noun,,
ragheads,noun,,
ragtard,noun,,
ramrod,noun,,
ratbastard,noun,,
ratbaztad,noun,,
reacharound,noun,,
rectum,noun,,
redskin,noun,,
retard,noun,,
retardo,noun,,
retardotron,noun,,
ricemonkey,noun,,
rimjob,noun,,
sack,noun,,
saladtosser,verb,,
sambo,noun,,
sandnigger,verb,,
sausagejockey,noun,,
scamfuck,noun,,
schlong,noun,,
scumfuck,noun,,
scumfucker,verb,,
scumfvck,noun,,
scummy,noun,,
scut,noun,,
sh,noun,,
sh1s,noun,,
sh1t,noun,,
sh1t3,noun,,
sh1td1ck,noun,,
sh1tdick,noun,,
sh1te,noun,,
sh1tfuck,noun,,
sh1th3ad,noun,,
sh1theads,noun,,
sh1ts,noun,,
sh1tsome,noun,,
sh1tt,noun,,
sh1tty,noun,,
sh3mal3,noun,,
sh3male,noun,,
shat,noun,,
sheeeet,noun,,
sheet,noun,,
sheister,verb,,
shemal3,noun,,
shemale,noun,,
shemales,noun,,
shet,noun,,
shi,noun,,
shiat,noun,,
shiddick,noun,,
shie,noun,,
shiester,verb,,
shiesterfuck,noun,,
shiesterfuckface,noun,,
shiesterfuckhead,noun,,
shiesterfucks,noun,,
shipdit,noun,,
shis,noun,,
shit,noun,crap,euphemism
shit3,noun,,
shitarse,noun,,
shitass,noun,,
shitasses,noun,,
shitassfucker,verb,,
shitassfuckface,noun,,
shitbag,noun,,
shitbandit,noun,,
shitbird,noun,,
shitblimp,noun,,
shitblimps,noun,,
shitbrain,noun,,
shitd1ck,noun,,
shitdick,noun,,
shitdicks,noun,,
shitdikk,noun,,
shitdip,noun,,
shite,noun,,
shiteblimps,noun,,
shited,verb,,
shitedick,noun,,
shitefuck,noun,,
shitefulls,noun,,
shitehead,noun,,
shites,noun,,
shitey,noun,,
shitface,noun,,
shitfaced,verb,,
shitfacefuck,noun,,
shitfacefucker,verb,,
shitfck,noun,,
shitfk,noun,,
shitforbrains,noun,,
shitfreak,noun,,
shitfuck,noun,,
shitfucker,verb,,
shitfuckhead,noun,,
shitfuckmotherfucker,verb,,
shitfucks,noun,,
shitfudgefucker,verb,,
shitfvck,noun,,
shithead,noun,,
shitheadfucker,verb,,
shitheadfuckface,noun,,
shitheads,noun,,
shithole,noun,,
shitlicker,verb,,
shits,noun,,
shitsdick,noun,,
shitsfuck,noun,,
shitsful,noun,,
shitstain,noun,,
shitstuffers,noun,,
shittastic,noun,,
shittasticfuck,noun,,
shitte,noun,,
shitted,verb,,
shitter,verb,,
shitterfucker,verb,,
shitti,noun,,
shitties,noun,,
shittiest,verb,,
shitting,verb,,
shittings,noun,,
shitty,noun,,
shittydick,noun,,
shittydicks,noun,,
shittyfuck,noun,,
shittyfuckface,noun,,
shittyful,noun,,
shittymofoes,noun,,
shiy,noun,,
shlong,noun,,
shmale,noun,,
shtfuk,noun,,
shutthefuckup,noun,,
shylock,noun,,
shytfeisterfuck,noun,,
sissy,noun,,
sixtynine,noun,,
